idDevedores,Valor,QtdTitulos
12787,8821,44,15
12788,2500,00,1
12789,17500,00,7
12790,1080,00,3
12791,360,00,1
12792,1080,00,3
12793,360,00,1
12794,360,00,1
12795,720,00,2
12796,1005,00,1
12797,720,00,1
12798,2880,00,8
12799,918,00,1
12800,2880,00,8
12801,2880,00,8
12802,17500,00,7
12803,2500,00,1
12804,2500,00,1
12805,7035,00,7
12806,2500,00,1
12807,1005,00,1
12808,1080,00,3
12809,2500,00,1
12810,2500,00,1
12811,2880,00,8
12812,2880,00,8
12813,720,00,2
12814,2880,00,8
12815,4188,80,7
12816,2500,00,1
12817,17500,00,7
12819,2880,00,3
12820,5443,46,6
12821,3060,00,10
12822,2060,40,8
12823,360,00,1
12825,4173,32,12
12826,918,00,1
12827,1000,00,2
12829,3000,00,10
12830,1440,00,2
12831,2500,00,1
12832,3960,00,11
12833,312,00,1
12834,243,28,8
12835,4320,00,12
12836,1440,00,1
12839,2880,00,8
12841,2520,00,7
12843,4320,00,12
12844,5000,00,2
12845,1213,50,4
12848,12500,00,5
12850,8542,50,10
12851,360,00,1
12852,1440,00,4
12853,2880,00,8
12854,360,00,1
12855,3960,00,11
12856,2160,00,6
12857,2080,00,7
12858,4320,00,12
12859,12344,00,8
12860,360,00,1
12862,3600,00,10
12863,1960,00,8
12864,5130,00,3
12865,5394,55,14
12866,2400,00,7
12867,2100,00,1
12868,2880,00,8
12870,3442,50,5
12871,5000,00,2
12872,300,00,1
12873,296,45,10
12874,2590,00,10
12875,598,40,1
12876,2500,00,1
12877,3960,00,11
12878,25000,00,10
12879,8670,48,12
12880,1080,00,2
12882,761,25,3
12883,262,08,1
12884,3960,00,11
12885,7688,25,9
12886,3960,00,11
12887,720,00,2
12888,252,00,9
12889,3960,00,11
12890,2500,00,1
12891,434,00,2
12892,7594,50,25
12893,5098,90,8
12894,7640,00,5
12895,6000,00,12
12896,2520,00,7
12897,306,00,1
12898,6666,66,18
12899,5000,00,2
12900,2880,00,8
12901,2160,00,6
12902,1600,00,1
12903,4020,00,1
12904,1250,00,5
12905,360,00,1
12906,3600,00,10
12908,1000,00,4
12909,619,81,3
12910,4338,46,8
12912,6264,96,16
12913,7008,71,20
12915,1800,00,6
12917,3000,00,10
12918,786,36,3
12919,2700,00,9
12920,1440,00,3
12921,4320,00,12
12922,4140,00,12
12923,3528,00,9
12924,1005,00,1
12925,854,40,1
12926,1512,00,9
12928,720,00,2
12929,1080,00,1
12930,2754,00,9
12932,17500,00,7
12933,15680,00,8
12935,3672,00,12
12936,1080,00,3
12937,1530,00,5
12938,7032,96,18
12939,360,00,1
12940,700,00,1
12943,613,50,2
12944,1440,00,3
12946,15225,00,1
12947,2142,00,7
12948,15120,00,7
12949,250,00,1
12950,1600,00,1
12952,3168,00,2
12953,3960,00,11
12954,900,00,3
12955,14040,00,6
12956,2208,83,4
12957,1872,00,6
12958,1836,00,6
12959,3774,16,15
12960,4863,32,14
12961,345,00,1
12962,840,00,15
12963,5000,00,2
12964,96,00,1
12965,5610,00,3
12967,306,00,1
12968,3000,00,2
12969,12960,00,6
12970,21292,00,9
12971,2520,00,4
12972,2096,64,8
12973,3240,00,9
12974,1440,00,4
12976,3528,00,9
12977,1500,00,3
12978,360,00,1
12979,1008,00,9
12980,5328,75,21
12981,3240,00,9
12982,504,00,2
12983,3240,00,9
12985,14530,00,10
12986,720,00,2
